position,now_cost,points_last_3gw,points_last_5gw,minutes_last_3gw,minutes_percentage_last_3,goals_last_3gw,assists_last_3gw,xg_last_3gw,xa_last_3gw,xgi_last_3gw,clean_sheets_last_3gw,bonus_last_3gw,ict_last_3gw,goals_per_90,points_std_last_5gw,points_trend,next_was_home,next_fixture_difficulty,next_opp_def_strength,strength_attack_home_player_team,strength_attack_away_player_team,transfers_balance,target_points,player_id,player_name,gameweek
DEF,52,0.5,0.5,22.0,24.444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.7071067811865476,0.0,True,1180.0,1180.0,1350,1350,-90018,1.0,10,Lewis-Skelly,3
DEF,52,0.3333333333333333,0.3333333333333333,14.666666666666666,16.296296296296294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.5773502691896258,1.7346906304869078e-16,True,1300.0,1300.0,1350,1350,-51468,0.0,10,Lewis-Skelly,4
DEF,52,0.6666666666666666,0.5,16.0,17.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5773502691896257,-1.2297908031807458e-16,False,1320.0,1240.0,1350,1350,-32509,1.0,10,Lewis-Skelly,5
DEF,52,0.3333333333333333,0.4,7.333333333333333,8.148148148148147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.5477225575051661,1.7346906304869078e-16,True,1100.0,1100.0,1350,1350,-23933,1.0,10,Lewis-Skelly,6
DEF,54,6.0,6.0,70.0,77.77777777777779,0.0,0.0,0.01,0.01,0.02,1.0,0.0,2.8,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,10746,0.0,11,White,2
DEF,54,3.0,3.0,35.0,38.88888888888889,0.0,0.0,0.005,0.005,0.01,1.0,0.0,1.4,0.0,4.242640687119285,0.0,True,1180.0,1180.0,1350,1350,-35801,0.0,11,White,3
DEF,54,2.0,2.0,23.333333333333332,25.925925925925924,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.006666666666666667,1.0,0.0,0.9333333333333332,0.0,3.4641016151377544,-2.9999999999999996,True,1300.0,1300.0,1350,1350,-15404,0.0,11,White,4
DEF,54,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,False,1320.0,1240.0,1350,1350,-7097,0.0,11,White,5
DEF,54,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6832815729997477,0.0,True,1100.0,1100.0,1350,1350,-4042,0.0,11,White,6
DEF,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380.0,1380.0,1150,1230,-3567,0.0,12,Zinchenko,2
DEF,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1300.0,1290.0,1150,1230,-6195,0.0,12,Zinchenko,3
DEF,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1050.0,1050.0,1150,1230,-2123,2.0,12,Zinchenko,4
DEF,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1050.0,1050.0,1150,1230,1834,2.0,12,Zinchenko,5
DEF,49,0.6666666666666666,0.4,30.0,33.33333333333333,0.0,0.0,0.013333333333333334,0.023333333333333334,0.03666666666666667,0.0,0.0,2.1,0.0,0.8944271909999159,0.9999999999999996,False,1320.0,1240.0,1150,1230,2180,0.0,12,Zinchenko,6
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-1976,0.0,13,Clarke,2
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1180.0,1180.0,1350,1350,-5304,0.0,13,Clarke,3
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1300.0,1300.0,1350,1350,-2534,0.0,13,Clarke,4
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1320.0,1240.0,1350,1350,-2412,0.0,13,Clarke,5
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1100.0,1100.0,1350,1350,-1775,0.0,13,Clarke,6
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-1317,0.0,14,Kacurri,2
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1180.0,1180.0,1350,1350,-1984,0.0,14,Kacurri,3
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1300.0,1300.0,1350,1350,-963,0.0,14,Kacurri,4
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1320.0,1240.0,1350,1350,2388,0.0,14,Kacurri,5
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1100.0,1100.0,1350,1350,-580,0.0,14,Kacurri,6
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-1258,0.0,15,Nichols,2
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1180.0,1180.0,1350,1350,-2120,0.0,15,Nichols,3
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1300.0,1300.0,1350,1350,-935,0.0,15,Nichols,4
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1320.0,1240.0,1350,1350,-316,0.0,15,Nichols,5
DEF,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1100.0,1100.0,1350,1350,3524,0.0,15,Nichols,6
MID,99,3.0,3.0,90.0,100.0,0.0,0.0,0.15,0.09,0.24,1.0,0.0,3.5,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,43708,0.0,16,Saka,2
MID,99,4.5,4.5,71.0,78.88888888888889,0.5,0.0,0.13,0.06,0.19,1.0,0.0,6.35,0.6338028169014085,2.1213203435596424,0.0,True,1180.0,1180.0,1350,1350,-986673,0.0,16,Saka,3
MID,99,3.0,3.0,47.333333333333336,52.59259259259259,0.3333333333333333,0.0,0.08666666666666667,0.04,0.12666666666666668,1.0,0.0,4.233333333333333,0.6338028169014084,3.0,-1.4999999999999996,True,1300.0,1300.0,1350,1350,-368029,1.0,16,Saka,4
MID,99,2.0,2.25,17.333333333333332,19.25925925925926,0.3333333333333333,0.0,0.03666666666666667,0.01,0.04666666666666667,0.0,0.0,3.0666666666666664,1.7307692307692308,2.8722813232690143,-2.9999999999999996,False,1320.0,1240.0,1350,1350,-95794,2.0,16,Saka,5
MID,99,0.3333333333333333,2.0,15.0,16.666666666666664,0.0,0.0,0.013333333333333334,0.06999999999999999,0.08333333333333333,0.0,0.0,1.5,0.0,2.5495097567963922,0.4999999999999998,True,1100.0,1100.0,1350,1350,170221,8.0,16,Saka,6
MID,79,5.0,5.0,90.0,100.0,0.0,0.0,0.09,0.29,0.38,1.0,0.0,5.5,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,14058,1.0,17,Ødegaard,2
MID,79,3.0,3.0,63.5,70.55555555555556,0.0,0.0,0.07,0.16999999999999998,0.24,1.0,0.0,3.2,0.0,2.8284271247461903,0.0,True,1180.0,1180.0,1350,1350,-141480,1.0,17,Ødegaard,3
MID,79,2.3333333333333335,2.3333333333333335,49.0,54.44444444444444,0.0,0.0,0.04666666666666667,0.11666666666666665,0.16333333333333333,1.0,0.0,2.3333333333333335,0.0,2.3094010767585034,-2.0000000000000004,True,1300.0,1300.0,1350,1350,4161,0.0,17,Ødegaard,4
MID,79,1.0,2.0,24.666666666666668,27.40740740740741,0.0,0.0,0.016666666666666666,0.02,0.03666666666666667,0.0,0.0,0.6666666666666666,0.0,2.0,8.985767264226737e-17,False,1320.0,1240.0,1350,1350,-69806,4.0,17,Ødegaard,5
MID,79,0.6666666666666666,1.6,12.333333333333334,13.703703703703704,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.3666666666666667,0.0,1.949358868961793,-0.4999999999999997,True,1100.0,1100.0,1350,1350,-33028,1.0,17,Ødegaard,6
MID,69,1.0,1.0,30.0,33.33333333333333,0.0,0.0,0.0,0.02,0.02,0.0,0.0,1.4,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-16415,2.0,18,Madueke,2
MID,69,2.0,2.0,46.5,51.66666666666667,0.0,0.0,0.0,0.055,0.055,1.0,0.0,2.8499999999999996,0.0,1.4142135623730951,0.0,True,1180.0,1180.0,1350,1350,-6043,3.0,18,Madueke,3
MID,69,2.0,2.0,60.333333333333336,67.03703703703704,0.0,0.0,0.04666666666666667,0.04666666666666667,0.09333333333333334,1.0,0.0,3.1999999999999997,0.0,1.0,0.5000000000000003,True,1300.0,1300.0,1350,1350,55350,1.0,18,Madueke,4
MID,69,2.6666666666666665,2.25,76.33333333333333,84.81481481481481,0.0,0.0,0.04666666666666667,0.27666666666666667,0.3233333333333333,2.0,0.0,6.7,0.0,0.9574271077563381,-5.741802664986524e-16,False,1320.0,1240.0,1350,1350,25843,0.0,18,Madueke,5
MID,69,2.0,2.0,70.33333333333333,78.14814814814814,0.0,0.0,0.09666666666666668,0.25,0.3466666666666667,1.0,0.0,6.300000000000001,0.0,1.0,-0.4999999999999999,True,1100.0,1100.0,1350,1350,-74463,0.0,18,Madueke,6
MID,69,1.0,1.0,59.0,65.55555555555556,0.0,0.0,0.02,0.01,0.03,0.0,0.0,3.8,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-9841,3.0,19,Martinelli,2
MID,69,0.5,0.5,29.5,32.77777777777778,0.0,0.0,0.01,0.005,0.015,0.0,0.0,1.9,0.0,0.7071067811865476,0.0,True,1180.0,1180.0,1350,1350,-29290,1.0,19,Martinelli,3
MID,69,1.3333333333333333,1.3333333333333333,42.666666666666664,47.407407407407405,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.01,1.0,0.0,1.5333333333333332,0.0,1.5275252316519465,0.9999999999999994,True,1300.0,1300.0,1350,1350,-9513,7.0,19,Martinelli,4
MID,69,1.3333333333333333,1.25,27.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4666666666666666,0.0,1.2583057392117916,0.5000000000000004,False,1320.0,1240.0,1350,1350,-9879,1.0,19,Martinelli,5
